1.00000,0.50457,0.06221,0.07500,0.60180,0.43030,0.48300,0.90816,0.60859,0.40584,0.87647
1.00000,0.04493,0.27824,0.16447,0.46271,0.92100,0.94577,0.63252,0.95342,0.16438,0.33269
0.00000,0.51404,0.69344,0.31516,0.48384,0.02342,0.68141,0.50664,0.09665,0.12016,0.32808
1.00000,0.68720,0.29893,0.59346,0.29191,0.36441,0.91206,0.64133,0.01655,0.15727,0.96810
1.00000,0.84226,0.39450,0.74643,0.98281,0.48525,0.14911,0.54405,0.23900,0.41318,0.30536
1.00000,0.24313,0.33757,0.28146,0.93225,0.31227,0.96975,0.07969,0.83058,0.32265,0.99519
1.00000,0.47934,0.33403,0.88820,0.93597,0.43371,0.04714,0.32424,0.87468,0.86556,0.22683
1.00000,0.59077,0.19711,0.65954,0.41244,0.29797,0.86236,0.86991,0.44149,0.78656,0.33670
1.00000,0.86349,0.61708,0.47032,0.50184,0.19322,0.31539,0.60235,0.90805,0.31783,0.85947
1.00000,0.70094,0.65381,0.62225,0.94922,0.85657,0.10544,0.46681,0.56676,0.61834,0.24374
1.00000,0.36967,0.39442,0.62719,0.87317,0.50566,0.12532,0.65426,0.31634,0.09379,0.93966
1.00000,0.14070,0.49801,0.64790,0.73412,0.06496,0.15665,0.15547,0.95050,0.57137,0.82723
0.00000,0.55514,0.42060,0.08258,0.40234,0.04506,0.43686,0.16100,0.02663,0.84523,0.81376
0.00000,0.58874,0.63761,0.21243,0.48578,0.81370,0.16529,0.24745,0.30719,0.22226,0.69568
1.00000,0.89055,0.39269,0.67260,0.94973,0.53481,0.98561,0.52004,0.72009,0.72727,0.33301
1.00000,0.44751,0.59938,0.04943,0.80035,0.38702,0.41679,0.74494,0.76511,0.89375,0.81582
1.00000,0.94618,0.46012,0.50336,0.74700,0.79108,0.12659,0.40177,0.94401,0.73164,0.69011
0.00000,0.37084,0.02866,0.24686,0.43796,0.63198,0.02130,0.39261,0.96503,0.46186,0.26548
0.00000,0.50524,0.78194,0.84893,0.40348,0.24272,0.32386,0.06005,0.03026,0.61307,0.40135
1.00000,0.70937,0.24735,0.28535,0.01671,0.07137,0.35240,0.89653,0.25739,0.90341,0.98017
